Date/Time,Word Count,de,de-DE,en,en-US
2021.08.01-23.50.13,0,0,0,0,0
2021.08.01-23.52.33,131,0,0,131,0
2021.08.01-23.59.50,130,0,0,130,0
2021.08.02-00.01.29,128,0,0,128,0
2021.08.02-00.07.16,123,0,0,123,0
2021.08.02-00.10.30,121,0,0,121,0
2021.08.02-00.12.27,117,0,0,117,0
2021.08.02-00.14.16,115,0,0,115,0
2021.08.02-00.20.17,113,0,0,113,0
2021.08.02-00.25.17,111,0,0,111,0
2021.08.02-16.03.06,111,0,19,111,0
2021.08.02-16.19.34,111,0,98,111,0
2021.08.02-16.24.08,100,0,97,100,0
2021.08.02-16.29.06,99,0,97,99,0
2021.08.02-16.30.29,97,0,97,97,0
2021.08.02-17.41.43,100,0,97,100,0
2021.08.02-17.43.38,100,0,99,100,0
2021.08.02-17.48.19,99,0,97,99,0
2021.08.02-18.00.08,98,0,98,98,0
2021.08.02-18.07.39,98,0,98,98,98
2021.08.02-18.23.06,99,0,98,99,98
2021.08.02-18.23.45,99,0,99,99,99
2021.08.02-18.53.05,99,99,99,99,0
2021.08.02-19.12.06,98,98,0,98,0
2021.08.05-21.27.44,115,98,0,115,0
2021.08.05-21.56.53,116,8,0,116,0
2021.08.05-22.02.25,116,36,0,116,0
2021.08.05-22.07.33,115,39,0,115,0
2021.08.06-14.23.47,117,39,0,117,0
2021.08.06-14.24.33,116,39,0,116,0
2021.08.06-14.26.08,115,39,0,115,0
2021.08.08-21.26.05,113,39,0,113,0
2021.08.08-21.30.38,113,45,0,113,0
2021.08.08-21.36.39,113,51,0,113,0
2021.08.14-00.21.58,119,50,0,119,0
2021.08.14-17.59.08,120,50,0,120,0
2021.08.14-18.09.31,120,60,0,120,0
2021.08.14-19.09.41,120,65,0,120,0
2021.08.15-19.45.18,120,97,0,120,0
2021.08.23-13.18.23,120,106,0,120,0
2021.09.19-16.53.26,148,106,0,148,0
2021.09.19-16.56.05,148,106,0,148,0
